@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2021/11/03 19:38:38:235',1,-0.279215,0,0,0
2,'2021/11/03 19:38:38:340',1,-0.276815,0,0,0
3,'2021/11/03 19:38:38:444',1,-0.276245,0,0,0
4,'2021/11/03 19:38:38:535',1,-0.277771,0,0,0
5,'2021/11/03 19:38:38:640',1,-0.278056,0,0,0
6,'2021/11/03 19:38:38:744',1,-0.278361,0,0,0
7,'2021/11/03 19:38:38:850',1,-0.278076,0,0,0
8,'2021/11/03 19:38:38:955',1,-0.277018,0,0,0
9,'2021/11/03 19:38:39:059',1,-0.278117,0,0,0
10,'2021/11/03 19:38:39:165',1,-0.277018,0,0,0
11,'2021/11/03 19:38:39:270',1,-0.278158,0,0,0
12,'2021/11/03 19:38:39:375',1,-0.278422,0,0,0
13,'2021/11/03 19:38:39:480',1,-0.278666,0,0,0
14,'2021/11/03 19:38:39:585',1,-0.27773,0,0,0
15,'2021/11/03 19:38:39:690',1,-0.277547,0,0,0
16,'2021/11/03 19:38:39:794',1,-0.277974,0,0,0
17,'2021/11/03 19:38:39:900',1,-0.278259,0,0,0
18,'2021/11/03 19:38:40:004',1,-0.277852,0,0,0
19,'2021/11/03 19:38:40:095',1,-0.276388,0,0,0
20,'2021/11/03 19:38:40:200',1,-0.277812,0,0,0
21,'2021/11/03 19:38:40:305',1,-0.277364,0,0,0
22,'2021/11/03 19:38:40:409',1,-0.278748,0,0,0
23,'2021/11/03 19:38:40:514',1,-0.277283,0,0,0
24,'2021/11/03 19:38:40:620',1,-0.277384,0,0,0
25,'2021/11/03 19:38:40:725',1,-0.277913,0,0,0
26,'2021/11/03 19:38:40:829',1,-0.278585,0,0,0
27,'2021/11/03 19:38:40:935',1,-0.277547,0,0,0
28,'2021/11/03 19:38:41:039',1,-0.277974,0,0,0
29,'2021/11/03 19:38:41:144',1,-0.278219,0,0,0
30,'2021/11/03 19:38:41:250',1,-0.278687,0,0,0
31,'2021/11/03 19:38:41:355',1,-0.278788,0,0,0
32,'2021/11/03 19:38:41:460',1,-0.278219,0,0,0
33,'2021/11/03 19:38:41:565',1,-0.277913,0,0,0
34,'2021/11/03 19:38:41:655',1,-0.276978,0,0,0
35,'2021/11/03 19:38:41:760',1,-0.277669,0,0,0
36,'2021/11/03 19:38:41:865',1,-0.277629,0,0,0
37,'2021/11/03 19:38:41:970',1,-0.277934,0,0,0
38,'2021/11/03 19:38:42:075',1,-0.277079,0,0,0
39,'2021/11/03 19:38:42:180',1,-0.277018,0,0,0
40,'2021/11/03 19:38:42:285',1,-0.277974,0,0,0
41,'2021/11/03 19:38:42:390',1,-0.277507,0,0,0
42,'2021/11/03 19:38:42:494',1,-0.278117,0,0,0
43,'2021/11/03 19:38:42:600',1,-0.27712,0,0,0
44,'2021/11/03 19:38:42:704',1,-0.276876,0,0,0
45,'2021/11/03 19:38:47:594',2,-0.578003,0,0,0
46,'2021/11/03 19:38:47:699',2,-0.579183,0,0,0
47,'2021/11/03 19:38:47:804',2,-0.578857,0,0,0
48,'2021/11/03 19:38:47:895',2,-0.579305,0,0,0
49,'2021/11/03 19:38:48:000',2,-0.576497,0,0,0
50,'2021/11/03 19:38:48:104',2,-0.578471,0,0,0
51,'2021/11/03 19:38:48:209',2,-0.578105,0,0,0
52,'2021/11/03 19:38:48:313',2,-0.577759,0,0,0
53,'2021/11/03 19:38:48:420',2,-0.575541,0,0,0
54,'2021/11/03 19:38:48:524',2,-0.579631,0,0,0
55,'2021/11/03 19:38:48:629',2,-0.579203,0,0,0
56,'2021/11/03 19:38:48:734',2,-0.578959,0,0,0
57,'2021/11/03 19:38:48:840',2,-0.577901,0,0,0
58,'2021/11/03 19:38:48:944',2,-0.579407,0,0,0
59,'2021/11/03 19:38:49:050',2,-0.579061,0,0,0
60,'2021/11/03 19:38:49:154',2,-0.579366,0,0,0
61,'2021/11/03 19:38:49:260',2,-0.578674,0,0,0
62,'2021/11/03 19:38:49:365',2,-0.580851,0,0,0
63,'2021/11/03 19:38:49:454',2,-0.579122,0,0,0
64,'2021/11/03 19:38:49:559',2,-0.57902,0,0,0
65,'2021/11/03 19:38:49:665',2,-0.578959,0,0,0
66,'2021/11/03 19:38:49:770',2,-0.579061,0,0,0
67,'2021/11/03 19:38:49:874',2,-0.580159,0,0,0
68,'2021/11/03 19:38:49:979',2,-0.579651,0,0,0
69,'2021/11/03 19:38:50:085',2,-0.578471,0,0,0
70,'2021/11/03 19:38:50:190',2,-0.57902,0,0,0
71,'2021/11/03 19:38:50:295',2,-0.578939,0,0,0
72,'2021/11/03 19:38:50:399',2,-0.581136,0,0,0
73,'2021/11/03 19:38:50:504',2,-0.579976,0,0,0
74,'2021/11/03 19:38:50:609',2,-0.578959,0,0,0
75,'2021/11/03 19:38:50:714',2,-0.579122,0,0,0
76,'2021/11/03 19:38:50:820',2,-0.579529,0,0,0
77,'2021/11/03 19:38:50:924',2,-0.579183,0,0,0
78,'2021/11/03 19:38:51:014',2,-0.579956,0,0,0
79,'2021/11/03 19:38:51:120',2,-0.580627,0,0,0
80,'2021/11/03 19:38:51:224',2,-0.580546,0,0,0
81,'2021/11/03 19:38:51:329',2,-0.581217,0,0,0
82,'2021/11/03 19:38:51:435',2,-0.579183,0,0,0
83,'2021/11/03 19:38:51:539',2,-0.580221,0,0,0
84,'2021/11/03 19:38:51:644',2,-0.579,0,0,0
85,'2021/11/03 19:38:51:749',2,-0.578857,0,0,0
86,'2021/11/03 19:38:51:855',2,-0.579753,0,0,0
87,'2021/11/03 19:38:51:959',2,-0.580424,0,0,0
88,'2021/11/03 19:38:52:064',2,-0.580892,0,0,0
89,'2021/11/03 19:38:52:170',2,-0.58134,0,0,0
90,'2021/11/03 19:38:52:274',2,-0.580322,0,0,0
91,'2021/11/03 19:38:52:379',2,-0.578206,0,0,0
92,'2021/11/03 19:38:52:484',2,-0.579692,0,0,0
93,'2021/11/03 19:38:52:574',2,-0.580627,0,0,0
94,'2021/11/03 19:38:52:678',2,-0.581156,0,0,0
95,'2021/11/03 19:38:52:783',2,-0.580831,0,0,0
96,'2021/11/03 19:38:52:890',2,-0.580404,0,0,0
97,'2021/11/03 19:38:52:994',2,-0.580261,0,0,0
98,'2021/11/03 19:38:53:099',2,-0.580261,0,0,0
99,'2021/11/03 19:38:53:204',2,-0.580566,0,0,0
100,'2021/11/03 19:38:53:309',2,-0.580872,0,0,0
101,'2021/11/03 19:38:53:414',2,-0.580627,0,0,0
102,'2021/11/03 19:38:53:520',2,-0.580139,0,0,0
103,'2021/11/03 19:38:58:094',3,-0.667277,0,0,0
104,'2021/11/03 19:38:58:199',3,-0.669983,0,0,0
105,'2021/11/03 19:38:58:304',3,-0.6698,0,0,0
106,'2021/11/03 19:38:58:410',3,-0.669169,0,0,0
107,'2021/11/03 19:38:58:514',3,-0.671977,0,0,0
108,'2021/11/03 19:38:58:620',3,-0.668559,0,0,0
109,'2021/11/03 19:38:58:725',3,-0.668132,0,0,0
110,'2021/11/03 19:38:58:815',3,-0.670451,0,0,0
111,'2021/11/03 19:38:58:919',3,-0.66921,0,0,0
112,'2021/11/03 19:38:59:024',3,-0.669535,0,0,0
113,'2021/11/03 19:38:59:129',3,-0.667643,0,0,0
114,'2021/11/03 19:38:59:234',3,-0.669067,0,0,0
115,'2021/11/03 19:38:59:339',3,-0.671265,0,0,0
116,'2021/11/03 19:38:59:445',3,-0.669535,0,0,0
117,'2021/11/03 19:38:59:549',3,-0.669779,0,0,0
118,'2021/11/03 19:38:59:654',3,-0.66982,0,0,0
119,'2021/11/03 19:38:59:760',3,-0.669963,0,0,0
120,'2021/11/03 19:38:59:865',3,-0.671021,0,0,0
121,'2021/11/03 19:38:59:969',3,-0.670451,0,0,0
122,'2021/11/03 19:39:00:074',3,-0.669576,0,0,0
123,'2021/11/03 19:39:00:179',3,-0.669027,0,0,0
124,'2021/11/03 19:39:00:284',3,-0.66923,0,0,0
125,'2021/11/03 19:39:00:374',3,-0.670044,0,0,0
126,'2021/11/03 19:39:00:480',3,-0.67039,0,0,0
127,'2021/11/03 19:39:00:584',3,-0.670308,0,0,0
128,'2021/11/03 19:39:00:689',3,-0.669963,0,0,0
129,'2021/11/03 19:39:00:794',3,-0.669352,0,0,0
130,'2021/11/03 19:39:00:899',3,-0.66921,0,0,0
131,'2021/11/03 19:39:01:005',3,-0.670532,0,0,0
132,'2021/11/03 19:39:01:109',3,-0.670471,0,0,0
133,'2021/11/03 19:39:01:214',3,-0.67039,0,0,0
134,'2021/11/03 19:39:01:319',3,-0.669698,0,0,0
135,'2021/11/03 19:39:01:425',3,-0.669718,0,0,0
136,'2021/11/03 19:39:01:529',3,-0.670451,0,0,0
137,'2021/11/03 19:39:01:634',3,-0.670593,0,0,0
138,'2021/11/03 19:39:01:740',3,-0.671285,0,0,0
139,'2021/11/03 19:39:01:845',3,-0.669881,0,0,0
140,'2021/11/03 19:39:01:934',3,-0.668416,0,0,0
141,'2021/11/03 19:39:02:039',3,-0.669088,0,0,0
142,'2021/11/03 19:39:12:854',4,-1.060303,1,0.96,0.96
143,'2021/11/03 19:39:12:959',4,-1.524984,1,0.96,0.96
144,'2021/11/03 19:39:13:064',4,-0.247599,1,0.96,0.96
145,'2021/11/03 19:39:13:169',4,0.456848,1,0.96,0.96
146,'2021/11/03 19:39:13:274',4,-1.342122,1,0.96,0.96
147,'2021/11/03 19:39:16:394',5,-1.206055,1,0.96,0.96
148,'2021/11/03 19:39:16:499',5,-0.822388,1,0.96,0.96
149,'2021/11/03 19:39:16:604',5,0.289449,1,0.96,0.96
150,'2021/11/03 19:39:16:708',5,-1.060303,1,0.96,0.96
151,'2021/11/03 19:39:19:304',6,-0.425334,1,0.96,0.96
