@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2021/11/08 20:46:21:399',1,0.131592,0.130737,0.131165,1,0,0,0,0
2,'2021/11/08 20:46:21:714',1,0.130981,0.131348,0.129089,1,0,0,0,0
3,'2021/11/08 20:46:22:029',1,0.132202,0.129028,0.129272,1,0,0,0,0
4,'2021/11/08 20:46:22:344',1,0.129089,0.125305,0.128174,1,0,0,0,0
5,'2021/11/08 20:46:22:644',1,0.128235,0.125854,0.126038,1,0,0,0,0
6,'2021/11/08 20:46:22:959',1,0.126343,0.125854,0.127502,1,0,0,0,0
7,'2021/11/08 20:46:23:274',1,0.128357,0.125793,0.124268,1,0,0,0,0
8,'2021/11/08 20:46:23:589',1,0.125183,0.122314,0.125977,1,0,0,0,0
9,'2021/11/08 20:46:23:903',1,0.124084,0.125061,0.12384,1,0,0,0,0
10,'2021/11/08 20:46:24:204',1,0.12616,0.120239,0.122864,1,0,0,0,0
11,'2021/11/08 20:46:24:519',1,0.123474,0.119995,0.120483,1,0,0,0,0
12,'2021/11/08 20:46:24:834',1,0.123596,0.124573,0.122314,1,0,0,0,0
13,'2021/11/08 20:46:25:149',1,0.12384,0.122192,0.119934,1,0,0,0,0
14,'2021/11/08 20:46:25:464',1,0.123535,0.123962,0.121765,1,0,0,0,0
15,'2021/11/08 20:46:25:763',1,0.123596,0.12384,0.121338,1,0,0,0,0
16,'2021/11/08 20:46:26:079',1,0.119019,0.120789,0.120544,1,0,0,0,0
17,'2021/11/08 20:46:26:393',1,0.117065,0.116272,0.112427,1,0,0,0,0
18,'2021/11/08 20:46:26:709',1,0.115845,0.120056,0.114197,1,0,0,0,0
19,'2021/11/08 20:46:27:023',1,0.115295,0.115662,0.115967,1,0,0,0,0
20,'2021/11/08 20:46:27:324',1,0.114929,0.116943,0.116577,1,0,0,0,0
21,'2021/11/08 20:46:27:639',1,0.113403,0.117615,0.118286,1,0,0,0,0
22,'2021/11/08 20:46:27:954',1,0.11676,0.118408,0.117126,1,0,0,0,0
23,'2021/11/08 20:46:28:269',1,0.116821,0.115601,0.118591,1,0,0,0,0
24,'2021/11/08 20:46:28:584',1,0.119141,0.115784,0.117676,1,0,0,0,0
25,'2021/11/08 20:46:28:884',1,0.11676,0.115845,0.116089,1,0,0,0,0
26,'2021/11/08 20:46:29:199',1,0.119446,0.114563,0.116394,1,0,0,0,0
27,'2021/11/08 20:46:29:514',1,0.118652,0.116821,0.117249,1,0,0,0,0
28,'2021/11/08 20:46:29:829',1,0.118835,0.117065,0.116882,1,0,0,0,0
29,'2021/11/08 20:46:30:144',1,0.118652,0.116516,0.116821,1,0,0,0,0
30,'2021/11/08 20:46:30:443',1,0.120178,0.117981,0.11676,1,0,0,0,0
31,'2021/11/08 20:46:30:759',1,0.11731,0.118408,0.115723,1,0,0,0,0
32,'2021/11/08 20:46:31:074',1,0.117371,0.118408,0.116272,1,0,0,0,0
33,'2021/11/08 20:46:31:389',1,0.114502,0.116394,0.114563,1,0,0,0,0
34,'2021/11/08 20:46:31:704',1,0.118469,0.117065,0.11499,1,0,0,0,0
35,'2021/11/08 20:46:32:004',1,0.119507,0.115112,0.116516,1,0,0,0,0
36,'2021/11/08 20:46:32:319',1,0.11438,0.113403,0.115173,1,0,0,0,0
37,'2021/11/08 20:46:32:634',1,0.111694,0.110229,0.111694,1,0,0,0,0
38,'2021/11/08 20:46:32:948',1,0.111572,0.110107,0.109131,1,0,0,0,0
39,'2021/11/08 20:46:33:264',1,0.11084,0.109924,0.10791,1,0,0,0,0
40,'2021/11/08 20:46:33:564',1,0.11084,0.108337,0.110229,1,0,0,0,0
41,'2021/11/08 20:46:33:879',1,0.112732,0.110901,0.11322,1,0,0,0,0
42,'2021/11/08 20:46:34:194',1,0.112,0.11084,0.113342,1,0,0,0,0
43,'2021/11/08 20:46:34:509',1,0.112915,0.112915,0.111511,1,0,0,0,0
44,'2021/11/08 20:46:34:824',1,0.110046,0.111267,0.112366,1,0,0,0,0
45,'2021/11/08 20:46:35:124',1,0.113403,0.111084,0.109436,1,0,0,0,0
46,'2021/11/08 20:46:35:439',1,0.110962,0.111816,0.109741,1,0,0,0,0
47,'2021/11/08 20:46:35:754',1,0.110046,0.114441,0.112305,1,0,0,0,0
